protname,dom_hostname,cattle,sheep,goat,dog,cat,pig,horse,chicken,numdomhosts
Spirodinium equi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetratoxum parvum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetratoxum unifasciculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria annae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria bicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria buffeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria cervi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria mutans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria parva,cattle,1,0,0,0,1,0,0,0,2
Toxoplasma gondii,"cat, pigs, sheep, mice, rats, poultry, rabbits, cattle",1,1,0,0,1,1,0,0,4
Triadinium galea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichomonas intestinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglocorys cava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglodytella abrassarti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma brucei,"game animals, cattle",1,0,0,0,1,0,0,0,2
Trypanosoma cervi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma congolense,"game animals, cattle",1,0,0,0,1,0,0,0,2
Trypanosoma cruzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma cyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma devei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma diasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma evansi,camels,0,0,0,0,0,0,0,0,0
Trypanosoma hippicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma irangiense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma lambrechti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma lesourdi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma minasense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma mycetae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma perodictici,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma pestanai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma primatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma rangeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma sanmartini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma simiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma theileri,"domestic cattle, other domesticated and wild bovids",1,0,0,0,1,0,0,0,2
Trypanosoma venezuelense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma vivax,"game animals, cattle",1,0,0,0,1,0,0,0,2
