"","protname","zscore","cscore","gmpdprotname","tm_close","tm_nonclose","tm_vector","tm_intermediate","parphylum","parclass","parorder","parfamily","zoostat"
"186","Cycloposthium scutigerum",-1,3,"Cycloposthium scutigerum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",0
"187","Cyclospora cayetanensis",0,NA,"Cyclospora cayetanensis",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"188","Cystoisospora belli",0,1,"Cystoisospora belli",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"189","Diplodinium anacanthum",-1,3,"Diplodinium anacanthum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"190","Diplodinium dentatum",-1,2,"Diplodinium dentatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"191","Diploplastron affine",-1,2,"Diploplastron affine",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"192","Eimeria crispus",-1,2,"Eimeria crispus",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"193","Eimeria hreindyria",-1,3,"Eimeria hreindyria",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"194","Eimeria kamoshika",-1,3,"Eimeria kamoshika",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"195","Eimeria mayeri",-1,3,"Eimeria mayeri",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"196","Eimeria rangiferis",-1,3,"Eimeria rangiferis",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"197","Eimeria serowi",-1,3,"Eimeria serowi",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"198","Elyplastron bubali",-1,3,"Elyplastron bubali",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"199","Entamoeba histolytica",0,3,"Entamoeba histolytica",1,1,0,0,"Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",0
"200","Entodinium bicornutum",-1,3,"Entodinium bicornutum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"201","Entodinium bursa",-1,2,"Entodinium bursa",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"202","Entodinium caudatum",-1,1,"Entodinium caudatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"203","Entodinium dubardi",-1,2,"Entodinium dubardi",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"204","Entodinium furca",-1,3,"Entodinium furca",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"205","Entodinium minimum",-1,2,"Entodinium minimum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"206","Epidinium bulbiferum",-1,3,"Epidinium bulbiferum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"207","Epidinium caudatum",-1,2,"Epidinium caudatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"208","Epidinium gigas",-1,3,"Epidinium gigas",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"209","Eudiplodinium maggi",-1,3,"Eudiplodinium maggi",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"210","Metadinium medium",-1,2,"Metadinium medium",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"211","Ostracodinium gracile",-1,2,"Ostracodinium gracile",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"212","Ostracodinium mammosum",-1,3,"Ostracodinium mammosum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"213","Ostracodinium trivesiculatum",-1,3,"Ostracodinium trivesiculatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"214","Paraisotricha minuta",-1,3,"Paraisotricha minuta",NA,NA,NA,NA,"Ciliophora","Litostomatea","Vestibuliferida","Paraisotrichidae",0
"215","Paraplagiopyla kiboko",-1,3,"Paraplagiopyla kiboko",NA,NA,NA,NA,"Ciliophora","Plagiopylea","Plagiopylida","Plagiopylidae",0
"216","Parentodinium africanum",-1,3,"Parentodinium africanum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Parentodiniidae",0
"217","Parentodinium ostrea",-1,3,"Parentodinium ostrea",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Parentodiniidae",0
"218","Polyplastron multivesiculatum",-1,2,"Polyplastron multivesiculatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",0
"219","Prototapirella gorillae",-1,3,"Prototapirella gorillae",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",0
"220","Sarcocystis alces",-1,3,"Sarcocystis alces",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"221","Sarcocystis hardangeri",-1,3,"Sarcocystis hardangeri",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"222","Sarcocystis ovalis",-1,2,"Sarcocystis ovalis",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"223","Sarcocystis scandinavica",-1,3,"Sarcocystis scandinavica",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"224","Spirodinium equi",-1,3,"Spirodinium equi",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Spirodiniidae",0
"225","Tetratoxum parvum",-1,3,"Tetratoxum parvum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ditoxidae",0
"226","Tetratoxum unifasciculatum",-1,3,"Tetratoxum unifasciculatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ditoxidae",0
"227","Triadinium galea",-1,3,"Triadinium galea",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Spirodiniidae",0
"228","Troglocorys cava",-1,2,"Troglocorys cava",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae",0
