"","protname","normalised.degree","betweenness","weighted.betweenness","closeness","weighted.closeness","types","deg","bet","clos","eig"
"146","Plasmodium schwetzi",0.00816326530612245,3.21636247859183e-05,9.34527981987285e-06,0.00488815524781067,0.0023031378608073,"FALSE",4,3.01074862971252,0,0.0827322429775149
"147","Plasmodium shortii",0.00816326530612245,0.0010676063475109,0,0.00457794539554576,0.00173526290497496,"FALSE",4,264.479475828897,0,0.0243145811077592
"148","Plasmodium simiovale",0.00408163265306122,0,0,0.00452154360422487,0.00171140637296421,"FALSE",2,0,0,0.0233734258534375
"149","Plasmodium simium",0.0163265306122449,5.19846031653259e-05,0,0.00562137853498227,0.00249572014184037,"FALSE",8,250.211087575252,0,0.0518138214329639
"150","Plasmodium vivax",0.0163265306122449,0.00535442132298797,9.34527981987285e-06,0.00619479674674468,0.00254010780992448,"FALSE",8,790.620332263442,0,0.124250033950524
"151","Plasmodium youngi",0.00408163265306122,0,0,0.004192533154853,0.00162907848708629,"FALSE",2,0,0,0.00413157380463871
"152","Polyplastron multivesiculatum",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"153","Prototapirella gorillae",0.00408163265306122,0,0,0.00463434718686666,0.00169021394251612,"FALSE",2,0,0,0.0338389700664444
"154","Retortamonas intestinalis",0.0122448979591837,0.00100054631849648,2.56995195046503e-05,0.0051325630102012,0.00240880454798019,"FALSE",6,167.443639964155,0,0.0951951533994702
"155","Sarcocystis alces",0.00408163265306122,0,0,0.00511376241309424,0.00177363722314071,"FALSE",2,0,0,0.0152729745278335
"156","Sarcocystis alceslatrans",0.00408163265306122,0,0,0.00511376241309424,0.00177363722314071,"FALSE",2,0,0,0.0152729745278335
"157","Sarcocystis americana",0.00408163265306122,0,0,0.00495395733768504,0.00172992642424174,"FALSE",2,0,0,0.0137752737043244
"158","Sarcocystis arctosi",0.00408163265306122,0,0,0.00480355256082933,0.0017130005584569,"FALSE",2,0,0,0.00846891574826678
"159","Sarcocystis arieticanis",0.00408163265306122,0,0,5.64017913208924e-05,NA,"FALSE",2,0,0,2.55762652554555e-17
"160","Sarcocystis axicuonis",0.00816326530612245,0,0,0.00389642375041831,0.00155324536126233,"FALSE",4,842,0,0.000953965395159866
"161","Sarcocystis camelopardalis",0.00408163265306122,0,0,0.00485995435215022,0.00172248170802714,"FALSE",2,0,0,0.00861483232658536
"162","Sarcocystis capracanis",0.00408163265306122,0,0,5.64017913208924e-05,NA,"FALSE",2,0,0,2.63573629265474e-17
"163","Sarcocystis capreolicanis",0.00408163265306122,0,0,0.00515136360730817,0.0017655291482891,"FALSE",2,0,0,0.0206210925329504
"164","Sarcocystis danzani",0.00408163265306122,0,0,5.64017913208924e-05,NA,"FALSE",2,0,0,2.69851638336107e-17
"165","Sarcocystis dubeyella",0.00408163265306122,0,0,0.00357587356974458,0.00123102250136837,"FALSE",2,0,0,0.000100413192169955
"166","Sarcocystis elegans",0.00408163265306122,0,0,0.00399042673595313,0.00160732755755267,"FALSE",2,0,0,0.00512767968134405
"167","Sarcocystis felis",0.00408163265306122,0,0,0.00488815524781067,0.00171503046850454,"FALSE",2,0,0,0.0143199285166282
"168","Sarcocystis fusiformis",0.00408163265306122,0,0,0.00497275793479201,0.0017240223681957,"FALSE",2,0,0,0.0153118437108219
"169","Sarcocystis gazellae",0.00408163265306122,0,0,5.64017913208924e-05,NA,"FALSE",2,0,0,2.31502901714598e-17
"170","Sarcocystis giraffae",0.00408163265306122,0,0,0.00485995435215022,0.00172248170802714,"FALSE",2,0,0,0.00861483232658536
"171","Sarcocystis grueneri",0.00816326530612245,0,0,0.00515136360730817,0.00233806320166492,"FALSE",4,3.39593250396943,0,0.0364511737724119
"172","Sarcocystis hardangeri",0.00408163265306122,0,0,0.00514196330875469,0.00178593612533166,"FALSE",2,0,0,0.0130455682579739
"173","Sarcocystis hemioni",0.00408163265306122,0,0,0.00495395733768504,0.00172992642424174,"FALSE",2,0,0,0.0137752737043244
"174","Sarcocystis hemionilatrantis",0.00408163265306122,0,0,0.00495395733768504,0.00172992642424174,"FALSE",2,0,0,0.0137752737043244
"175","Sarcocystis hominis",0.00408163265306122,0,0,0.00480355256082933,0.0017130005584569,"FALSE",2,0,0,0.00846891574826678
"176","Sarcocystis kirkpatricki",0.00408163265306122,0,0,0.00512316271164772,0.00175331641746379,"FALSE",2,0,0,0.0193862336053916
"177","Sarcocystis klaseriensis",0.00408163265306122,0,0,0.00485995435215022,0.00172248170802714,"FALSE",2,0,0,0.00861483232658537
"178","Sarcocystis melampi",0.00408163265306122,0,0,0,NA,"FALSE",2,0,0,3.05178608160093e-17
