Sample Name	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]
Numida meleagris	Species-Species Interactions	Numida meleagris_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Capra hircus	Species-Species Interactions	Capra hircus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Oryctolagus cuniculus	Species-Species Interactions	Oryctolagus cuniculus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Ovis aries	Species-Species Interactions	Ovis aries_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Pavo cristatus	Species-Species Interactions	Pavo cristatus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bubalus bubalis	Species-Species Interactions	Bubalus bubalis_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Phasianus colchicus	Species-Species Interactions	Phasianus colchicus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Rangifer tarandus	Species-Species Interactions	Rangifer tarandus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Anser anser	Species-Species Interactions	Anser anser_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Anas platyrhynchos	Species-Species Interactions	Anas platyrhynchos_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Serinus canaria	Species-Species Interactions	Serinus canaria_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Struthio camelus	Species-Species Interactions	Struthio camelus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Rattus norvegicus	Species-Species Interactions	Rattus norvegicus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Rattus rattus	Species-Species Interactions	Rattus rattus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Sus scrofa	Species-Species Interactions	Sus scrofa_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Lagopus lagopus scotica	Species-Species Interactions	Lagopus lagopus scotica_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Rhombomys opimus	Species-Species Interactions	Rhombomys opimus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Gallus gallus	Species-Species Interactions	Gallus gallus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chinchilla lanigera	Species-Species Interactions	Chinchilla lanigera_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Columba livia	Species-Species Interactions	Columba livia_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Dama dama	Species-Species Interactions	Dama dama_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Agapornis personata	Species-Species Interactions	Agapornis personata_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Agapornis roseicollis	Species-Species Interactions	Agapornis roseicollis_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Nymphicus hollandicus	Species-Species Interactions	Nymphicus hollandicus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Melopsittacus undulatus	Species-Species Interactions	Melopsittacus undulatus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Equus asinus africanus	Species-Species Interactions	Equus asinus africanus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
