Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
GeoNames or MESH database				Sweden	GAZ	GAZ:00002729	Data Repositories	sweden
GeoNames or MESH database				Netherlands	GAZ	GAZ:00001549	Data Repositories	netherlands
GeoNames or MESH database				Austria	GAZ	GAZ:00002942	Data Repositories	austria
GeoNames or MESH database				Belgium	GAZ	GAZ:00002938	Data Repositories	belgium
GeoNames or MESH database				Germany	GAZ	GAZ:00002646	Data Repositories	germany
GeoNames or MESH database				Italy	GAZ	GAZ:00002650	Data Repositories	italy
GeoNames or MESH database				Angola	GAZ	GAZ:00001095	Data Repositories	angola
GeoNames or MESH database				Namibia	GAZ	GAZ:00001096	Data Repositories	namibia
GeoNames or MESH database				Suriname	GAZ	GAZ:00002525	Data Repositories	suriname
GeoNames or MESH database				Greenland	GAZ	GAZ:00001507	Data Repositories	greenland
GeoNames or MESH database				Brazil	GAZ	GAZ:00002828	Data Repositories	brazil
GeoNames or MESH database				Cuba	GAZ	GAZ:00003762	Data Repositories	cuba
GeoNames or MESH database				Republic of Ireland	GAZ	GAZ:00002943	Data Repositories	ireland
GeoNames or MESH database				French Republic	GAZ	GAZ:00002940	Data Repositories	france
GeoNames or MESH database				Bosnia and Herzegovina	GAZ	GAZ:00006887	Data Repositories	bosnia and herzegovina
GeoNames or MESH database				Antigua and Barbuda	GAZ	GAZ:00006883	Data Repositories	antigua and barbuda
GeoNames or MESH database				Saint Lucia	GAZ	GAZ:00006909	Data Repositories	saint lucia
GeoNames or MESH database				Aruba	GAZ	GAZ:00004025	Data Repositories	aruba
GeoNames or MESH database				Saint Vincent and the Grenadines	GAZ	GAZ:02000565	Data Repositories	saint vincent and the grenadines
GeoNames or MESH database				Guatemala	GAZ	GAZ:00002936	Data Repositories	guatemala
GeoNames or MESH database				Costa Rica	GAZ	GAZ:00002901	Data Repositories	costa rica
GeoNames or MESH database				Venezuela	GAZ	GAZ:00002931	Data Repositories	venezuela
GeoNames or MESH database				Ecuador	GAZ	GAZ:00002912	Data Repositories	ecuador
GeoNames or MESH database				Colombia	GAZ	GAZ:00002929	Data Repositories	colombia
GeoNames or MESH database				Argentina	GAZ	GAZ:00002928	Data Repositories	argentina
GeoNames or MESH database				Chile	GAZ	GAZ:00002825	Data Repositories	chile
GeoNames or MESH database				Bolivia	GAZ	GAZ:00002511	Data Repositories	bolivia
GeoNames or MESH database				British Virgin Islands	GAZ	GAZ:00003961	Data Repositories	british virgin islands
GeoNames or MESH database				Peru	GAZ	GAZ:00002932	Data Repositories	peru
GeoNames or MESH database				Turks and Caicos Islands	GAZ	GAZ:00003955	Data Repositories	turks and caicos islands
GeoNames or MESH database				Panama	GAZ	GAZ:00002892	Data Repositories	panama
GeoNames or MESH database				Mexico	GAZ	GAZ:00002852	Data Repositories	mexico
GeoNames or MESH database				Samoa	GAZ	GAZ:00006910	Data Repositories	samoa
GeoNames or MESH database				Northern Marianas	GAZ	GAZ:00007109	Data Repositories	northern mariana islands
GeoNames or MESH database				Guam	GAZ	GAZ:00006933	Data Repositories	guam
GeoNames or MESH database				Canada	GAZ	GAZ:00002560	Data Repositories	canada
GeoNames or MESH database				United States of America	GAZ	GAZ:00002459	Data Repositories	united states
GeoNames or MESH database				Wallis and Futuna Islands	GAZ	GAZ:00007191	Data Repositories	wallis and futuna
GeoNames or MESH database				Niue	GAZ	GAZ:00006902	Data Repositories	niue
GeoNames or MESH database				Dominica	GAZ	GAZ:00006890	Data Repositories	dominica
GeoNames or MESH database				Antarctica	GAZ	GAZ:00000462	Data Repositories	antarctica
GeoNames or MESH database				Country of Curacao	GAZ	GAZ:00012582	Data Repositories	curacao
GeoNames or MESH database				South Sudan	GAZ	GAZ:00233439	Data Repositories	south sudan
GeoNames or MESH database				Kingdom of Norway	GAZ	GAZ:00002699	Data Repositories	norway
GeoNames or MESH database				Tonga	GAZ	GAZ:00006916	Data Repositories	tonga
GeoNames or MESH database				Kuwait	GAZ	GAZ:00005285	Data Repositories	kuwait
GeoNames or MESH database				Oman	GAZ	GAZ:00005283	Data Repositories	oman
GeoNames or MESH database				Bahrain	GAZ	GAZ:00005281	Data Repositories	bahrain
GeoNames or MESH database				Eritrea	GAZ	GAZ:00000581	Data Repositories	eritrea
GeoNames or MESH database				Azerbaijan	GAZ	GAZ:00004941	Data Repositories	azerbaijan
GeoNames or MESH database				Lithuania	GAZ	GAZ:00002960	Data Repositories	lithuania
GeoNames or MESH database				Bhutan	GAZ	GAZ:00003920	Data Repositories	bhutan
GeoNames or MESH database				Kyrgyzstan	GAZ	GAZ:00006893	Data Repositories	kyrgyzstan
