"","protname","mean_ GDP_2015","mean_ HDI_2015"
"48","Eimeria hreindyria",21009.759765625,0.737664818763733
"49","Eimeria ictidea",34298.5625,0.832544088363647
"50","Eimeria kamoshika",23590.70703125,0.806410759687424
"51","Eimeria macusaniensis",NA,NA
"52","Eimeria madisonensis",37222.83984375,0.83347225189209
"53","Eimeria mayeri",28712.45703125,0.796999990940094
"54","Eimeria mccordocki",37222.83984375,0.83347225189209
"55","Eimeria melis",32470.982421875,0.801777303218842
"56","Eimeria mephitidis",27580.5625,0.745298624038696
"57","Eimeria nuttalli",32485.9016927083,0.775741259256999
"58","Eimeria odocoilei",37222.83984375,0.83347225189209
"59","Eimeria pachylepyron",9198.80078125,0.64300000667572
"60","Eimeria rangiferis",28712.45703125,0.796999990940094
"61","Eimeria serowi",22488.0703125,0.80435973405838
"62","Eimeria vulpis",29593.994140625,0.789751350879669
"63","Eimeria zuernii",34298.5625,0.832544088363647
"64","Elyplastron bubali",7179.43548583984,0.47299998998642
"65","Endolimax nana",5750.94331776012,0.461080192164941
"66","Entamoeba chattoni",5051.63041687012,0.443843327462673
"67","Entamoeba coli",2840.28566005774,0.411707590023677
"68","Entamoeba dispar",12158.9219360352,0.559690967202187
"69","Entamoeba hartmanni",4994.58965725369,0.467989990280734
"70","Entamoeba histolytica",4906.44516315866,0.438958718104565
"71","Entamoeba polecki",997.560913085938,0.370000004768372
"72","Entodinium bicornutum",5185.61515299479,0.47299998998642
"73","Entodinium bursa",7179.43548583984,0.47299998998642
"74","Entodinium caudatum",5185.61515299479,0.47299998998642
"75","Entodinium dubardi",5185.61515299479,0.47299998998642
"76","Entodinium furca",1197.97448730469,0.47299998998642
"77","Entodinium minimum",9173.2558186849,0.47299998998642
"78","Entopolypoides macaci",1986.92690429687,0.455543458461761
"79","Epidinium bulbiferum",5185.61515299479,0.47299998998642
"80","Epidinium caudatum",7179.43548583984,0.47299998998642
"81","Epidinium gigas",5185.61515299479,0.47299998998642
"82","Eudiplodinium maggi",5185.61515299479,0.47299998998642
"83","Giardia intestinalis",22094.3286499023,0.663602932989597
"84","Hepatocystis cercopitheci",1484.59893798828,0.368065950771173
