"","parname","ProportionalGenerality","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness"
"56","Eimeria mephitidis",0.00460789002561614,0.00039670020745742,0,0.00737297083432808,0
"57","Eimeria nuttalli",0.00921578005123228,0.000557903600171614,0,0.078337815114736,0.0233381680192729
"58","Eimeria odocoilei",0.00460789002561614,0.000530874617428785,0,0.0847891645947729,0.00694997549363207
"59","Eimeria pachylepyron",0.00460789002561614,0.000294715683309645,0,0.00552972812574606,0
"60","Eimeria rangiferis",0.00460789002561614,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05
"61","Eimeria serowi",0.00460789002561614,0.000494866207533137,0,0.0211972911486932,0.00159403947940813
"62","Eimeria vulpis",0.00460789002561614,0.000486839143866223,0,0.0175108057315292,2.08162428262544e-07
"63","Eimeria zuernii",0.00460789002561614,0.000505115452667163,0,0.0322567474001853,0.000388930680965736
"64","Elyplastron bubali",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"65","Endolimax nana",0.0645104603586259,0.0005795812071365,0.000793065172668225,0.0275828105319952,0.0100650697001573
"66","Entamoeba chattoni",0.0184315601024646,0.000556633782190407,4.20475403585012e-06,0.0435466089902502,0.0315584414508845
"67","Entamoeba coli",0.129020920717252,0.000602165826945106,0.0152011937334004,0.0216251867774712,0.00568261574998285
"68","Entamoeba dispar",0.00921578005123228,0.000460472280499309,1.37229066245521e-07,0.0147459416686561,0.000764506255283945
"69","Entamoeba hartmanni",0.0783341304354744,0.000606700891163701,0.002316788573287,0.0300340135457188,0.00890820044473623
"70","Entamoeba histolytica",0.11980514066602,0.000596995853735907,0.00530845766564313,0.0217289957761688,0.00604912857698191
"71","Entamoeba polecki",0.00460789002561614,0.000500879702686995,0,0.0488459317774235,0.00700652389863285
"72","Entodinium bicornutum",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"73","Entodinium bursa",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"74","Entodinium caudatum",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"75","Entodinium dubardi",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"76","Entodinium furca",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"77","Entodinium minimum",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"78","Entodinium rectangulatum",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"79","Entopolypoides macaci",0.0184315601024646,0.000525024384586797,6.70549138936843e-06,0.0290310726601668,0.00614711831848233
"80","Epidinium bulbiferum",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"81","Epidinium caudatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
