ParasiteCorrectedName,have_zooscore,have_trait,Note,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax
Cycloposthium scutigerum,1,NA,NA,NA,0,,,,-1,3,,VR,42725,,,,,Cycloposthium scutigerum,12,Cycloposthium scutigerum,1,,Gurelli and Gocmen 2011,,VR,42725,,,,NA,0,1,No,,,
Cyclospora cayetanensis,1,NA,NA,NA,0,,,,0,NA,,TH,5/28/2019,,,,,,NA,,NA,,,,,NA,,,,NA,NA,NA,,no animal reservoirs for C. cayetanensis have been identified (https://www.cdc.gov/dpdx/cyclosporiasis/index.html),,
Cystoisospora belli,1,NA,NA,NA,0,,0,3,0,1,,VR,42705,,,,,Isospora belli,6680,Isospora belli,290,human only,"Horvitz et al., 1987",Gideon,VR,42705,,,,NA,0,0,Yes," .Ud Din, Najam, et al. ""Severe Isospora (Cystoisospora) belli diarrhea preceding the diagnosis of human T-cell-leukemia-virus-1-associated T-cell lymphoma."" Case reports in infectious diseases 2012 (2012).",Cystoisospora belli,Cystoisospora belli
Diplodinium anacanthum,1,NA,NA,NA,0,,,,-1,3,,VR,42719,,,,,Diplodinium anacanthum,35,Diplodinium anacanthum,0,,"Belanche et al., 2012",,VR,42719,,,,NA,0,1,No,,,
Diplodinium dentatum,1,NA,NA,NA,0,,-1,3,-1,2,,VR,42719,,,,,Diplodinium dentatum,214,Diplodinium dentatum,5,sheep,Ito and Imai 2003,,VR,42719,,,,NA,0,1,No,,,
Diploplastron affine,1,NA,NA,NA,0,,,,-1,2,,VR,42719,,,,,Diploplastron affine,214,Diploplastron affine,35,transmitted through mosquitos,"Belzecki et al., 2008",,VR,42719,,,,NA,0,1,No,,,
Eimeria crispus,1,NA,NA,NA,0,,-1,2,-1,2,,VR,42718,,,,,Eimeria crispus,92,Eimeria crispus,3,Japanese Serow,Inoue and Imura 1991,GS,VR,42718,,,,NA,0,1,No,,,
Eimeria hreindyria,1,NA,NA,NA,0,,,,-1,3,,VR,42718,,,,,Eimeria hreindyria,8,Eimeria hreindyria,0,,Gudmundsdottir and Skirnisson 2006,,VR,42718,,,,NA,0,1,No,,,
Eimeria kamoshika,1,NA,NA,NA,0,,,,-1,3,,VR,42718,,,,,Eimeria kamoshika,7,Eimeria kamoshika,2,,"Couch et al., 2003",,VR,42718,,,,NA,0,1,No,,,
Eimeria mayeri,1,NA,NA,NA,0,,-1,3,-1,3,,VR,42718,,,,,Eimeria mayeri,27,Eimeria mayeri,2,reindeer calves,Gudmundsdottir and Skirnisson 2005,,VR,42718,,,,NA,0,1,No,,,
